wealth,crra_pi_share_numeric,crra_pi_share_analytic,cara_pi_dollar_numeric,cara_pi_dollar_analytic_t0
0.6024,0.999997,1.000000,0.980231,0.980199
0.6049,0.999997,1.000000,0.980231,0.980199
0.6074,0.999997,1.000000,0.980231,0.980199
0.6100,0.999997,1.000000,0.980231,0.980199
0.6125,0.999997,1.000000,0.980231,0.980199
0.6150,0.999997,1.000000,0.980231,0.980199
0.6176,0.999997,1.000000,0.980231,0.980199
0.6202,0.999997,1.000000,0.980231,0.980199
0.6227,0.999998,1.000000,0.980231,0.980199
0.6253,0.999998,1.000000,0.980231,0.980199
0.6279,0.999998,1.000000,0.980231,0.980199
0.6305,0.999998,1.000000,0.980231,0.980199
0.6331,0.999998,1.000000,0.980231,0.980199
0.6358,0.999998,1.000000,0.980231,0.980199
0.6384,0.999998,1.000000,0.980231,0.980199
0.6410,0.999998,1.000000,0.980231,0.980199
0.6437,0.999998,1.000000,0.980231,0.980199
0.6464,0.999998,1.000000,0.980231,0.980199
0.6491,0.999998,1.000000,0.980231,0.980199
0.6518,0.999998,1.000000,0.980231,0.980199
0.6545,0.999999,1.000000,0.980231,0.980199
0.6572,0.999999,1.000000,0.980231,0.980199
0.6599,0.999999,1.000000,0.980231,0.980199
0.6626,0.999999,1.000000,0.980231,0.980199
0.6654,0.999999,1.000000,0.980231,0.980199
0.6682,0.999999,1.000000,0.980231,0.980199
0.6709,0.999999,1.000000,0.980231,0.980199
0.6737,0.999999,1.000000,0.980231,0.980199
0.6765,0.999999,1.000000,0.980231,0.980199
0.6793,0.999999,1.000000,0.980231,0.980199
0.6821,0.999999,1.000000,0.980231,0.980199
0.6850,0.999999,1.000000,0.980231,0.980199
0.6878,0.999999,1.000000,0.980231,0.980199
0.6907,0.999999,1.000000,0.980231,0.980199
0.6935,0.999999,1.000000,0.980231,0.980199
0.6964,0.999999,1.000000,0.980231,0.980199
0.6993,0.999999,1.000000,0.980231,0.980199
0.7022,0.999999,1.000000,0.980231,0.980199
0.7051,0.999999,1.000000,0.980231,0.980199
0.7080,0.999999,1.000000,0.980231,0.980199
0.7110,1.000000,1.000000,0.980231,0.980199
0.7139,1.000000,1.000000,0.980231,0.980199
0.7169,1.000000,1.000000,0.980231,0.980199
0.7199,1.000000,1.000000,0.980231,0.980199
0.7229,1.000000,1.000000,0.980231,0.980199
0.7259,1.000000,1.000000,0.980231,0.980199
0.7289,1.000000,1.000000,0.980231,0.980199
0.7319,1.000000,1.000000,0.980231,0.980199
0.7349,1.000000,1.000000,0.980231,0.980199
0.7380,1.000000,1.000000,0.980231,0.980199
0.7410,1.000000,1.000000,0.980231,0.980199
0.7441,1.000000,1.000000,0.980231,0.980199
0.7472,1.000000,1.000000,0.980231,0.980199
0.7503,1.000000,1.000000,0.980231,0.980199
0.7534,1.000000,1.000000,0.980231,0.980199
0.7565,1.000000,1.000000,0.980231,0.980199
0.7597,1.000000,1.000000,0.980231,0.980199
0.7628,1.000000,1.000000,0.980231,0.980199
0.7660,1.000000,1.000000,0.980231,0.980199
0.7692,1.000000,1.000000,0.980231,0.980199
0.7724,1.000000,1.000000,0.980231,0.980199
0.7756,1.000000,1.000000,0.980231,0.980199
0.7788,1.000000,1.000000,0.980231,0.980199
0.7820,1.000000,1.000000,0.980231,0.980199
0.7853,1.000000,1.000000,0.980231,0.980199
0.7885,1.000000,1.000000,0.980231,0.980199
0.7918,1.000000,1.000000,0.980231,0.980199
0.7951,1.000000,1.000000,0.980231,0.980199
0.7984,1.000000,1.000000,0.980231,0.980199
0.8017,1.000000,1.000000,0.980231,0.980199
0.8050,1.000000,1.000000,0.980231,0.980199
0.8084,1.000000,1.000000,0.980231,0.980199
0.8117,1.000000,1.000000,0.980231,0.980199
0.8151,1.000000,1.000000,0.980231,0.980199
0.8185,1.000000,1.000000,0.980231,0.980199
0.8219,1.000000,1.000000,0.980231,0.980199
0.8253,1.000000,1.000000,0.980231,0.980199
0.8287,1.000000,1.000000,0.980231,0.980199
0.8322,1.000000,1.000000,0.980231,0.980199
0.8356,1.000000,1.000000,0.980231,0.980199
0.8391,1.000000,1.000000,0.980231,0.980199
0.8426,1.000000,1.000000,0.980231,0.980199
0.8461,1.000000,1.000000,0.980231,0.980199
0.8496,1.000000,1.000000,0.980231,0.980199
0.8531,1.000000,1.000000,0.980231,0.980199
0.8566,1.000000,1.000000,0.980231,0.980199
0.8602,1.000000,1.000000,0.980231,0.980199
0.8638,1.000000,1.000000,0.980231,0.980199
0.8673,1.000000,1.000000,0.980231,0.980199
0.8709,1.000000,1.000000,0.980231,0.980199
0.8746,1.000000,1.000000,0.980231,0.980199
0.8782,1.000000,1.000000,0.980231,0.980199
0.8818,1.000000,1.000000,0.980231,0.980199
0.8855,1.000000,1.000000,0.980231,0.980199
0.8892,1.000000,1.000000,0.980231,0.980199
0.8929,1.000000,1.000000,0.980231,0.980199
0.8966,1.000000,1.000000,0.980231,0.980199
0.9003,1.000000,1.000000,0.980231,0.980199
0.9040,1.000000,1.000000,0.980231,0.980199
0.9078,1.000000,1.000000,0.980231,0.980199
0.9115,1.000000,1.000000,0.980231,0.980199
0.9153,1.000000,1.000000,0.980231,0.980199
0.9191,1.000000,1.000000,0.980231,0.980199
0.9229,1.000000,1.000000,0.980231,0.980199
0.9268,1.000000,1.000000,0.980231,0.980199
0.9306,1.000000,1.000000,0.980231,0.980199
0.9345,1.000000,1.000000,0.980231,0.980199
0.9383,1.000000,1.000000,0.980231,0.980199
0.9422,1.000000,1.000000,0.980231,0.980199
0.9461,1.000000,1.000000,0.980231,0.980199
0.9501,1.000000,1.000000,0.980231,0.980199
0.9540,1.000000,1.000000,0.980231,0.980199
0.9580,1.000000,1.000000,0.980231,0.980199
0.9620,1.000000,1.000000,0.980231,0.980199
0.9659,1.000000,1.000000,0.980231,0.980199
0.9700,1.000000,1.000000,0.980231,0.980199
0.9740,1.000000,1.000000,0.980231,0.980199
0.9780,1.000000,1.000000,0.980231,0.980199
0.9821,1.000000,1.000000,0.980231,0.980199
0.9862,1.000000,1.000000,0.980231,0.980199
0.9902,1.000000,1.000000,0.980231,0.980199
0.9944,1.000000,1.000000,0.980231,0.980199
0.9985,1.000000,1.000000,0.980231,0.980199
1.0026,1.000000,1.000000,0.980231,0.980199
1.0068,1.000000,1.000000,0.980231,0.980199
1.0110,1.000000,1.000000,0.980231,0.980199
1.0152,1.000000,1.000000,0.980231,0.980199
1.0194,1.000000,1.000000,0.980231,0.980199
1.0236,1.000000,1.000000,0.980231,0.980199
1.0279,1.000000,1.000000,0.980231,0.980199
1.0321,1.000000,1.000000,0.980231,0.980199
1.0364,1.000000,1.000000,0.980231,0.980199
1.0407,1.000000,1.000000,0.980231,0.980199
1.0450,1.000000,1.000000,0.980231,0.980199
1.0494,1.000000,1.000000,0.980231,0.980199
1.0537,1.000000,1.000000,0.980231,0.980199
1.0581,1.000000,1.000000,0.980231,0.980199
1.0625,1.000000,1.000000,0.980231,0.980199
1.0669,1.000000,1.000000,0.980231,0.980199
1.0713,1.000000,1.000000,0.980231,0.980199
1.0758,1.000000,1.000000,0.980231,0.980199
1.0802,1.000000,1.000000,0.980231,0.980199
1.0847,1.000000,1.000000,0.980231,0.980199
1.0892,1.000000,1.000000,0.980231,0.980199
1.0937,1.000000,1.000000,0.980231,0.980199
1.0983,1.000000,1.000000,0.980231,0.980199
1.1028,1.000000,1.000000,0.980231,0.980199
1.1074,1.000000,1.000000,0.980231,0.980199
1.1120,1.000000,1.000000,0.980231,0.980199
1.1166,1.000000,1.000000,0.980231,0.980199
1.1213,1.000000,1.000000,0.980231,0.980199
1.1259,1.000000,1.000000,0.980231,0.980199
1.1306,1.000000,1.000000,0.980231,0.980199
1.1353,1.000000,1.000000,0.980231,0.980199
1.1400,1.000000,1.000000,0.980231,0.980199
1.1447,1.000000,1.000000,0.980231,0.980199
1.1495,1.000000,1.000000,0.980231,0.980199
1.1542,1.000000,1.000000,0.980231,0.980199
1.1590,1.000000,1.000000,0.980231,0.980199
1.1638,1.000000,1.000000,0.980231,0.980199
1.1687,1.000000,1.000000,0.980231,0.980199
1.1735,1.000000,1.000000,0.980231,0.980199
1.1784,1.000000,1.000000,0.980231,0.980199
1.1833,1.000000,1.000000,0.980231,0.980199
1.1882,1.000000,1.000000,0.980231,0.980199
1.1931,1.000000,1.000000,0.980231,0.980199
1.1981,1.000000,1.000000,0.980231,0.980199
1.2030,1.000000,1.000000,0.980231,0.980199
1.2080,1.000000,1.000000,0.980231,0.980199
1.2130,1.000000,1.000000,0.980231,0.980199
1.2181,1.000000,1.000000,0.980231,0.980199
1.2231,1.000000,1.000000,0.980231,0.980199
1.2282,1.000000,1.000000,0.980231,0.980199
1.2333,1.000000,1.000000,0.980231,0.980199
1.2384,1.000000,1.000000,0.980231,0.980199
1.2436,1.000000,1.000000,0.980231,0.980199
1.2487,1.000000,1.000000,0.980231,0.980199
1.2539,1.000000,1.000000,0.980231,0.980199
1.2591,1.000000,1.000000,0.980231,0.980199
1.2643,1.000000,1.000000,0.980231,0.980199
1.2696,1.000000,1.000000,0.980231,0.980199
1.2749,1.000000,1.000000,0.980231,0.980199
1.2801,1.000000,1.000000,0.980231,0.980199
1.2855,1.000000,1.000000,0.980231,0.980199
1.2908,1.000000,1.000000,0.980231,0.980199
1.2962,1.000000,1.000000,0.980231,0.980199
1.3015,1.000000,1.000000,0.980231,0.980199
1.3069,1.000000,1.000000,0.980231,0.980199
1.3124,1.000000,1.000000,0.980231,0.980199
1.3178,1.000000,1.000000,0.980231,0.980199
1.3233,1.000000,1.000000,0.980231,0.980199
1.3288,1.000000,1.000000,0.980231,0.980199
1.3343,1.000000,1.000000,0.980231,0.980199
1.3398,1.000000,1.000000,0.980231,0.980199
1.3454,1.000000,1.000000,0.980231,0.980199
1.3510,1.000000,1.000000,0.980231,0.980199
1.3566,1.000000,1.000000,0.980231,0.980199
1.3622,1.000000,1.000000,0.980231,0.980199
1.3678,1.000000,1.000000,0.980231,0.980199
1.3735,1.000000,1.000000,0.980231,0.980199
1.3792,1.000000,1.000000,0.980231,0.980199
1.3850,1.000000,1.000000,0.980231,0.980199
1.3907,1.000000,1.000000,0.980231,0.980199
1.3965,1.000000,1.000000,0.980231,0.980199
1.4023,1.000000,1.000000,0.980231,0.980199
1.4081,1.000000,1.000000,0.980231,0.980199
1.4139,1.000000,1.000000,0.980231,0.980199
1.4198,1.000000,1.000000,0.980231,0.980199
1.4257,1.000000,1.000000,0.980231,0.980199
1.4316,1.000000,1.000000,0.980231,0.980199
1.4375,1.000000,1.000000,0.980231,0.980199
1.4435,1.000000,1.000000,0.980231,0.980199
1.4495,1.000000,1.000000,0.980231,0.980199
1.4555,1.000000,1.000000,0.980231,0.980199
1.4616,1.000000,1.000000,0.980231,0.980199
1.4676,1.000000,1.000000,0.980231,0.980199
1.4737,1.000000,1.000000,0.980231,0.980199
1.4798,1.000000,1.000000,0.980231,0.980199
1.4860,1.000000,1.000000,0.980231,0.980199
1.4921,1.000000,1.000000,0.980231,0.980199
1.4983,1.000000,1.000000,0.980231,0.980199
1.5046,1.000000,1.000000,0.980231,0.980199
1.5108,1.000000,1.000000,0.980231,0.980199
1.5171,1.000000,1.000000,0.980231,0.980199
1.5234,1.000000,1.000000,0.980231,0.980199
1.5297,1.000000,1.000000,0.980231,0.980199
1.5360,1.000000,1.000000,0.980231,0.980199
1.5424,1.000000,1.000000,0.980231,0.980199
1.5488,1.000000,1.000000,0.980231,0.980199
1.5552,1.000000,1.000000,0.980231,0.980199
1.5617,1.000000,1.000000,0.980231,0.980199
1.5682,1.000000,1.000000,0.980231,0.980199
1.5747,1.000000,1.000000,0.980231,0.980199
1.5812,1.000000,1.000000,0.980231,0.980199
1.5878,1.000000,1.000000,0.980231,0.980199
1.5944,1.000000,1.000000,0.980231,0.980199
1.6010,1.000000,1.000000,0.980231,0.980199
1.6076,1.000000,1.000000,0.980231,0.980199
1.6143,1.000000,1.000000,0.980231,0.980199
1.6210,1.000000,1.000000,0.980231,0.980199
1.6277,1.000000,1.000000,0.980231,0.980199
1.6345,1.000000,1.000000,0.980231,0.980199
1.6413,1.000000,1.000000,0.980231,0.980199
1.6481,1.000000,1.000000,0.980231,0.980199
1.6549,1.000000,1.000000,0.980231,0.980199
1.6618,1.000000,1.000000,0.980231,0.980199
1.6687,1.000000,1.000000,0.980231,0.980199
1.6756,1.000000,1.000000,0.980231,0.980199
1.6826,1.000000,1.000000,0.980231,0.980199
1.6895,1.000000,1.000000,0.980231,0.980199
1.6966,1.000000,1.000000,0.980231,0.980199
1.7036,1.000000,1.000000,0.980231,0.980199
1.7107,1.000000,1.000000,0.980231,0.980199
1.7178,1.000000,1.000000,0.980231,0.980199
1.7249,1.000000,1.000000,0.980231,0.980199
1.7321,1.000000,1.000000,0.980231,0.980199
1.7392,1.000000,1.000000,0.980231,0.980199
1.7465,1.000000,1.000000,0.980231,0.980199
1.7537,1.000000,1.000000,0.980231,0.980199
1.7610,1.000000,1.000000,0.980231,0.980199
1.7683,1.000000,1.000000,0.980231,0.980199
1.7756,1.000000,1.000000,0.980231,0.980199
1.7830,1.000000,1.000000,0.980231,0.980199
1.7904,1.000000,1.000000,0.980231,0.980199
1.7978,1.000000,1.000000,0.980231,0.980199
1.8053,1.000000,1.000000,0.980231,0.980199
1.8128,1.000000,1.000000,0.980231,0.980199
1.8203,1.000000,1.000000,0.980231,0.980199
1.8279,1.000000,1.000000,0.980231,0.980199
1.8354,1.000000,1.000000,0.980231,0.980199
1.8431,1.000000,1.000000,0.980231,0.980199
1.8507,1.000000,1.000000,0.980231,0.980199
1.8584,1.000000,1.000000,0.980231,0.980199
1.8661,1.000000,1.000000,0.980231,0.980199
1.8738,1.000000,1.000000,0.980231,0.980199
1.8816,1.000000,1.000000,0.980231,0.980199
1.8894,1.000000,1.000000,0.980231,0.980199
1.8973,1.000000,1.000000,0.980231,0.980199
1.9052,1.000000,1.000000,0.980231,0.980199
1.9131,1.000000,1.000000,0.980231,0.980199
1.9210,1.000000,1.000000,0.980231,0.980199
1.9290,1.000000,1.000000,0.980231,0.980199
1.9370,1.000000,1.000000,0.980231,0.980199
1.9450,1.000000,1.000000,0.980231,0.980199
1.9531,1.000000,1.000000,0.980231,0.980199
1.9612,1.000000,1.000000,0.980231,0.980199
1.9693,1.000000,1.000000,0.980231,0.980199
1.9775,1.000000,1.000000,0.980231,0.980199
1.9857,1.000000,1.000000,0.980231,0.980199
1.9939,1.000000,1.000000,0.980231,0.980199
2.0022,1.000000,1.000000,0.980231,0.980199
2.0105,1.000000,1.000000,0.980231,0.980199
2.0189,1.000000,1.000000,0.980231,0.980199
2.0273,1.000000,1.000000,0.980231,0.980199
2.0357,1.000000,1.000000,0.980231,0.980199
2.0441,1.000000,1.000000,0.980231,0.980199
2.0526,1.000000,1.000000,0.980231,0.980199
2.0611,1.000000,1.000000,0.980231,0.980199
2.0697,1.000000,1.000000,0.980231,0.980199
2.0783,1.000000,1.000000,0.980231,0.980199
2.0869,1.000000,1.000000,0.980231,0.980199
2.0955,1.000000,1.000000,0.980231,0.980199
2.1042,1.000000,1.000000,0.980231,0.980199
2.1130,1.000000,1.000000,0.980231,0.980199
2.1217,1.000000,1.000000,0.980231,0.980199
2.1306,1.000000,1.000000,0.980231,0.980199
2.1394,1.000000,1.000000,0.980231,0.980199
2.1483,1.000000,1.000000,0.980231,0.980199
2.1572,1.000000,1.000000,0.980231,0.980199
2.1661,1.000000,1.000000,0.980231,0.980199
2.1751,1.000000,1.000000,0.980231,0.980199
2.1842,1.000000,1.000000,0.980231,0.980199
2.1932,1.000000,1.000000,0.980231,0.980199
2.2023,1.000000,1.000000,0.980231,0.980199
2.2115,1.000000,1.000000,0.980231,0.980199
2.2206,1.000000,1.000000,0.980231,0.980199
2.2299,1.000000,1.000000,0.980231,0.980199
2.2391,1.000000,1.000000,0.980231,0.980199
2.2484,1.000000,1.000000,0.980231,0.980199
2.2577,1.000000,1.000000,0.980231,0.980199
2.2671,1.000000,1.000000,0.980231,0.980199
2.2765,1.000000,1.000000,0.980231,0.980199
2.2860,1.000000,1.000000,0.980231,0.980199
2.2954,1.000000,1.000000,0.980231,0.980199
2.3050,1.000000,1.000000,0.980231,0.980199
2.3145,1.000000,1.000000,0.980231,0.980199
2.3241,1.000000,1.000000,0.980231,0.980199
2.3338,1.000000,1.000000,0.980230,0.980199
2.3435,1.000000,1.000000,0.980230,0.980199
2.3532,1.000000,1.000000,0.980230,0.980199
2.3630,1.000000,1.000000,0.980230,0.980199
2.3728,1.000000,1.000000,0.980230,0.980199
2.3826,1.000000,1.000000,0.980230,0.980199
2.3925,1.000000,1.000000,0.980230,0.980199
2.4024,1.000000,1.000000,0.980230,0.980199
2.4124,1.000000,1.000000,0.980230,0.980199
2.4224,1.000000,1.000000,0.980230,0.980199
2.4325,1.000000,1.000000,0.980230,0.980199
2.4426,1.000000,1.000000,0.980230,0.980199
2.4527,1.000000,1.000000,0.980230,0.980199
2.4629,1.000000,1.000000,0.980230,0.980199
2.4731,1.000000,1.000000,0.980230,0.980199
2.4834,1.000000,1.000000,0.980230,0.980199
2.4937,1.000000,1.000000,0.980230,0.980199
2.5040,1.000000,1.000000,0.980230,0.980199
2.5144,1.000000,1.000000,0.980230,0.980199
2.5249,1.000000,1.000000,0.980230,0.980199
2.5353,1.000000,1.000000,0.980230,0.980199
2.5459,1.000000,1.000000,0.980230,0.980199
2.5564,1.000000,1.000000,0.980230,0.980199
2.5670,1.000000,1.000000,0.980230,0.980199
2.5777,1.000000,1.000000,0.980230,0.980199
2.5884,1.000000,1.000000,0.980230,0.980199
2.5991,1.000000,1.000000,0.980230,0.980199
2.6099,1.000000,1.000000,0.980230,0.980199
2.6207,1.000000,1.000000,0.980230,0.980199
2.6316,1.000000,1.000000,0.980230,0.980199
2.6425,1.000000,1.000000,0.980230,0.980199
2.6535,1.000000,1.000000,0.980230,0.980199
2.6645,1.000000,1.000000,0.980230,0.980199
2.6756,1.000000,1.000000,0.980230,0.980199
2.6867,1.000000,1.000000,0.980230,0.980199
2.6978,1.000000,1.000000,0.980230,0.980199
2.7090,1.000000,1.000000,0.980230,0.980199
2.7203,1.000000,1.000000,0.980230,0.980199
2.7316,1.000000,1.000000,0.980230,0.980199
2.7429,1.000000,1.000000,0.980230,0.980199
2.7543,1.000000,1.000000,0.980230,0.980199
2.7657,1.000000,1.000000,0.980230,0.980199
2.7772,1.000000,1.000000,0.980230,0.980199
2.7887,1.000000,1.000000,0.980230,0.980199
2.8003,1.000000,1.000000,0.980230,0.980199
2.8119,1.000000,1.000000,0.980230,0.980199
2.8236,1.000000,1.000000,0.980230,0.980199
2.8353,1.000000,1.000000,0.980230,0.980199
2.8471,1.000000,1.000000,0.980230,0.980199
2.8589,1.000000,1.000000,0.980230,0.980199
2.8707,1.000000,1.000000,0.980230,0.980199
2.8827,1.000000,1.000000,0.980230,0.980199
2.8946,1.000000,1.000000,0.980230,0.980199
2.9066,1.000000,1.000000,0.980230,0.980199
2.9187,1.000000,1.000000,0.980230,0.980199
2.9308,1.000000,1.000000,0.980230,0.980199
2.9430,1.000000,1.000000,0.980230,0.980199
2.9552,1.000000,1.000000,0.980230,0.980199
2.9674,1.000000,1.000000,0.980230,0.980199
2.9798,1.000000,1.000000,0.980230,0.980199
2.9921,1.000000,1.000000,0.980230,0.980199
3.0045,1.000000,1.000000,0.980230,0.980199
3.0170,1.000000,1.000000,0.980230,0.980199
3.0295,1.000000,1.000000,0.980230,0.980199
3.0421,1.000000,1.000000,0.980230,0.980199
3.0547,1.000000,1.000000,0.980230,0.980199
3.0674,1.000000,1.000000,0.980230,0.980199
3.0801,1.000000,1.000000,0.980230,0.980199
3.0929,1.000000,1.000000,0.980230,0.980199
3.1058,1.000000,1.000000,0.980230,0.980199
3.1187,1.000000,1.000000,0.980230,0.980199
3.1316,1.000000,1.000000,0.980230,0.980199
3.1446,1.000000,1.000000,0.980230,0.980199
3.1576,1.000000,1.000000,0.980230,0.980199
3.1707,1.000000,1.000000,0.980230,0.980199
3.1839,1.000000,1.000000,0.980230,0.980199
3.1971,1.000000,1.000000,0.980230,0.980199
3.2104,1.000000,1.000000,0.980230,0.980199
3.2237,1.000000,1.000000,0.980230,0.980199
3.2371,1.000000,1.000000,0.980230,0.980199
3.2505,1.000000,1.000000,0.980230,0.980199
3.2640,1.000000,1.000000,0.980230,0.980199
3.2776,1.000000,1.000000,0.980230,0.980199
3.2912,1.000000,1.000000,0.980230,0.980199
3.3048,1.000000,1.000000,0.980230,0.980199
3.3185,1.000000,1.000000,0.980230,0.980199
3.3323,1.000000,1.000000,0.980230,0.980199
3.3461,1.000000,1.000000,0.980230,0.980199
3.3600,1.000000,1.000000,0.980230,0.980199
3.3740,1.000000,1.000000,0.980230,0.980199
3.3880,1.000000,1.000000,0.980230,0.980199
3.4020,1.000000,1.000000,0.980230,0.980199
3.4161,1.000000,1.000000,0.980230,0.980199
3.4303,1.000000,1.000000,0.980230,0.980199
3.4446,1.000000,1.000000,0.980230,0.980199
3.4589,1.000000,1.000000,0.980230,0.980199
3.4732,1.000000,1.000000,0.980230,0.980199
3.4876,1.000000,1.000000,0.980230,0.980199
3.5021,1.000000,1.000000,0.980230,0.980199
3.5166,1.000000,1.000000,0.980230,0.980199
3.5312,1.000000,1.000000,0.980230,0.980199
3.5459,1.000000,1.000000,0.980230,0.980199
3.5606,1.000000,1.000000,0.980230,0.980199
3.5754,1.000000,1.000000,0.980230,0.980199
3.5902,1.000000,1.000000,0.980230,0.980199
3.6051,1.000000,1.000000,0.980230,0.980199
3.6201,1.000000,1.000000,0.980230,0.980199
3.6351,1.000000,1.000000,0.980230,0.980199
3.6502,1.000000,1.000000,0.980230,0.980199
3.6653,1.000000,1.000000,0.980230,0.980199
3.6805,1.000000,1.000000,0.980230,0.980199
3.6958,1.000000,1.000000,0.980230,0.980199
3.7112,1.000000,1.000000,0.980230,0.980199
3.7266,1.000000,1.000000,0.980230,0.980199
3.7420,1.000000,1.000000,0.980230,0.980199
3.7576,1.000000,1.000000,0.980230,0.980199
3.7732,1.000000,1.000000,0.980230,0.980199
3.7888,1.000000,1.000000,0.980230,0.980199
3.8045,1.000000,1.000000,0.980230,0.980199
3.8203,1.000000,1.000000,0.980230,0.980199
3.8362,1.000000,1.000000,0.980230,0.980199
3.8521,1.000000,1.000000,0.980230,0.980199
3.8681,1.000000,1.000000,0.980230,0.980199
3.8841,1.000000,1.000000,0.980230,0.980199
3.9003,1.000000,1.000000,0.980230,0.980199
3.9164,1.000000,1.000000,0.980230,0.980199
3.9327,1.000000,1.000000,0.980230,0.980199
3.9490,1.000000,1.000000,0.980230,0.980199
3.9654,1.000000,1.000000,0.980230,0.980199
3.9819,1.000000,1.000000,0.980230,0.980199
3.9984,1.000000,1.000000,0.980230,0.980199
4.0150,1.000000,1.000000,0.980230,0.980199
4.0316,1.000000,1.000000,0.980230,0.980199
4.0484,1.000000,1.000000,0.980230,0.980199
4.0652,1.000000,1.000000,0.980230,0.980199
4.0820,1.000000,1.000000,0.980230,0.980199
4.0990,0.999999,1.000000,0.980230,0.980199
4.1160,0.999999,1.000000,0.980230,0.980199
4.1331,0.999999,1.000000,0.980230,0.980199
4.1502,0.999999,1.000000,0.980230,0.980199
4.1675,0.999999,1.000000,0.980230,0.980199
4.1848,0.999999,1.000000,0.980230,0.980199
4.2021,0.999999,1.000000,0.980230,0.980199
4.2196,0.999999,1.000000,0.980230,0.980199
4.2371,0.999999,1.000000,0.980230,0.980199
4.2547,0.999999,1.000000,0.980230,0.980199
4.2723,0.999999,1.000000,0.980230,0.980199
4.2900,0.999999,1.000000,0.980230,0.980199
4.3078,0.999999,1.000000,0.980230,0.980199
4.3257,0.999999,1.000000,0.980230,0.980199
4.3437,0.999999,1.000000,0.980230,0.980199
4.3617,0.999999,1.000000,0.980230,0.980199
4.3798,0.999999,1.000000,0.980230,0.980199
4.3980,0.999999,1.000000,0.980230,0.980199
4.4162,0.999999,1.000000,0.980230,0.980199
4.4346,0.999999,1.000000,0.980230,0.980199
4.4530,0.999999,1.000000,0.980230,0.980199
4.4714,0.999999,1.000000,0.980230,0.980199
4.4900,0.999999,1.000000,0.980230,0.980199
4.5086,0.999999,1.000000,0.980230,0.980199
4.5273,0.999999,1.000000,0.980230,0.980199
4.5461,0.999999,1.000000,0.980230,0.980199
4.5650,0.999998,1.000000,0.980230,0.980199
4.5840,0.999998,1.000000,0.980230,0.980199
4.6030,0.999998,1.000000,0.980230,0.980199
4.6221,0.999998,1.000000,0.980230,0.980199
4.6413,0.999998,1.000000,0.980230,0.980199
4.6605,0.999998,1.000000,0.980230,0.980199
4.6799,0.999998,1.000000,0.980230,0.980199
4.6993,0.999998,1.000000,0.980230,0.980199
4.7188,0.999998,1.000000,0.980230,0.980199
4.7384,0.999998,1.000000,0.980230,0.980199
4.7580,0.999998,1.000000,0.980230,0.980199
4.7778,0.999998,1.000000,0.980230,0.980199
4.7976,0.999998,1.000000,0.980230,0.980199
4.8175,0.999998,1.000000,0.980230,0.980199
4.8375,0.999998,1.000000,0.980230,0.980199
4.8576,0.999998,1.000000,0.980230,0.980199
4.8777,0.999998,1.000000,0.980230,0.980199
4.8980,0.999997,1.000000,0.980230,0.980199
4.9183,0.999997,1.000000,0.980230,0.980199
4.9387,0.999997,1.000000,0.980230,0.980199
4.9592,0.999997,1.000000,0.980230,0.980199
4.9798,0.999997,1.000000,0.980230,0.980199
